NAME,LAT,LON,ADDRESS,CITY,STATE,ZIP,PUBLIC,PRIVATE,FORPROFIT,NONPROFIT,ACCREDITATION,ENROLLMENT,TUITIONINSTATE,TUITIONOUTOFSTATE,LANDGRANT,KCTCS,TYPE
Eastern Kentucky University,37.7430918,-84.300792,521 Lancaster Avenue,Richmond,KY,40475,YES,NO,NO,YES,,16305,7920,17448,NO,NO,PUBLIC
Ashland Community and Technical College,38.4694797,-82.6496634,1400 College Drive,Ashland,KY,41101,YES,NO,NO,YES,,4688,3744,7488,NO,YES,KCTCS
Big Sandy Community and Technical College,37.687717,-82.7785823,1 Bert Combs Drive,Prestonsburg,KY,41653,YES,NO,NO,YES,,5048,3744,7488,NO,YES,KCTCS
Bluegrass Community and Technical College,38.0247912,-84.5037084,470 Cooper Drive,Lexington,KY,40502,YES,NO,NO,YES,,13378,3744,7488,NO,YES,KCTCS
Elizabethtown Community and Technical College,37.6919389,-85.8771227,600 College Street Road,Elizabethtown,KY,42710,YES,NO,NO,YES,,6915,3744,7488,NO,YES,KCTCS
Gateway Community and Technical College,38.961321,-84.632906,500 Technology Way,Florence,KY,41042,YES,NO,NO,YES,,4206,3744,7488,NO,YES,KCTCS
Hazard Community and Technical College,37.2356411,-83.1766979,1 Community College Drive,Hazard,KY,41701,YES,NO,NO,YES,,4714,3744,7488,NO,YES,KCTCS
Henderson Community College,37.797129,-87.6525354,2660 South Green Street,Henderson,KY,42420,YES,NO,NO,YES,,2206,3744,7488,NO,YES,KCTCS
Hopkinsville Community College,36.8825283,-87.4875023,720 North Drive,Hopkinsville,KY,42241,YES,NO,NO,YES,,3755,3744,7488,NO,YES,KCTCS
Jefferson Community and Technical College,38.2453317,-85.7555113,200 West Broadway,Louisville,KY,40202,YES,NO,NO,YES,,14992,3744,7488,NO,YES,KCTCS
Madisonville Community College,37.3630487,-87.5123962,2000 College Drive,Madisonville,KY,42431,YES,NO,NO,YES,,4597,3744,7488,NO,YES,KCTCS
Maysville Community and Technical College,38.6166149,-83.8097791,1755 US-68 BUS,Maysville,KY,41056,YES,NO,NO,YES,,4128,3744,7488,NO,YES,KCTCS
Owensboro Community and Technical College,37.7150767,-87.0830441,4800 New Hartford Road,Owensboro,KY,42303,YES,NO,NO,YES,,6328,3744,7488,NO,YES,KCTCS
Somerset Community College,37.0618199,-84.6186715,808 Monticello Street,Somerset,KY,42501,YES,NO,NO,YES,,8201,3744,7488,NO,YES,KCTCS
Southcentral Kentucky Community and Technical College,36.9841297,-86.4801093,1845 Loop Avenue,Bowling Green,KY,42101,YES,NO,NO,YES,,4899,3744,7488,NO,YES,KCTCS
Southeast Kentucky Community and Technical College,36.9661128,-82.9976986,700 College Road,Cumberland,KY,40823,YES,NO,NO,YES,,4959,3744,7488,NO,YES,KCTCS
West Kentucky Community and Technical College,37.0568018,-88.6569699,4810 Alben Barkley Drive,Paducah,KY,42001,YES,NO,NO,YES,,7529,3744,7488,NO,YES,KCTCS
Kentucky State University,38.2010142,-84.8551533,400 East Main Street,Frankfort,KY,40601,YES,NO,NO,YES,,2732,7754,18056,YES,NO,PUBLIC
